t_s,cmd_hz,meas_hz,meas_a
0.0007,900.000,890.90,6.60
0.0512,900.000,890.90,6.60
0.1020,900.000,890.90,6.60
0.1519,900.000,890.90,6.60
0.2058,900.000,890.90,6.60
0.2556,900.000,890.90,6.60
0.3036,900.000,890.90,6.60
0.3510,900.000,890.90,6.60
0.4043,900.000,890.90,6.60
0.4520,900.000,890.90,6.60
0.5067,900.000,890.90,6.50
0.5539,900.000,890.90,6.50
0.6021,900.000,890.90,6.50
0.6559,900.000,890.90,6.50
0.7021,900.000,890.90,6.50
0.7527,900.000,890.90,6.50
0.8064,900.000,890.90,6.50
0.8518,900.000,890.90,6.50
0.9010,900.000,890.90,6.50
0.9550,900.000,890.90,6.50
1.0019,900.000,890.90,6.50
1.0548,900.000,890.90,6.50
1.1060,900.000,890.90,6.50
1.1536,900.000,890.90,6.50
1.2047,900.000,890.90,6.50
1.2518,900.000,890.90,6.50
1.3054,900.000,890.90,6.50
1.3519,900.000,890.90,6.50
1.4018,900.000,890.90,6.50
1.4518,900.000,890.90,6.50
1.5045,900.000,890.90,6.50
1.5514,900.000,890.90,6.50
1.6058,900.000,893.80,6.60
1.6537,900.000,893.80,6.60
1.7031,900.000,893.80,6.60
1.7532,900.000,893.80,6.60
1.8036,900.000,893.80,6.60
1.8508,900.000,893.80,6.60
1.9019,900.000,893.80,6.60
1.9560,900.000,893.80,6.60
2.0074,900.000,893.80,6.60
2.0523,900.000,893.80,6.60
2.1020,900.000,893.80,6.60
2.1518,900.000,893.80,6.60
2.2008,900.000,893.80,6.60
2.2557,900.000,893.80,6.60
2.3017,900.000,893.80,6.60
2.3518,900.000,893.80,6.60
2.4035,900.000,890.90,6.60
2.4548,900.000,890.90,6.60
2.5049,900.000,890.90,6.60
2.5554,900.000,890.90,6.60
2.6061,900.000,893.80,6.60
2.6517,900.000,893.80,6.60
2.7020,900.000,893.80,6.60
2.7560,900.000,893.80,6.60
2.8022,900.000,893.80,6.60
2.8545,900.000,893.80,6.60
2.9028,900.000,893.80,6.60
2.9522,900.000,893.80,6.60
3.0018,900.000,893.80,6.60
3.0550,900.000,893.80,6.60
3.1065,900.000,893.80,6.60
3.1532,900.000,893.80,6.60
3.2032,900.000,893.80,6.60
3.2518,900.000,893.80,6.60
3.3018,900.000,893.80,6.60
3.3535,900.000,893.80,6.60
3.4066,900.000,893.80,6.60
3.4521,900.000,893.80,6.60
3.5058,900.000,893.80,6.60
3.5510,900.000,893.80,6.60
3.6023,900.000,893.80,6.60
3.6520,900.000,893.80,6.60
3.7021,900.000,893.80,6.60
3.7529,900.000,893.80,6.60
3.8057,900.000,893.80,6.60
3.8537,900.000,893.80,6.60
3.9032,900.000,893.80,6.60
3.9546,900.000,893.80,6.60
4.0037,900.000,893.80,6.60
4.0545,900.000,893.80,6.60
4.1071,900.000,893.80,6.60
4.1559,900.000,893.80,6.60
4.2037,900.000,893.80,6.60
4.2560,900.000,893.80,6.60
4.3022,900.000,893.80,6.60
4.3534,900.000,893.80,6.60
4.4027,900.000,893.80,6.60
4.4520,900.000,893.80,6.60
4.5035,900.000,893.80,6.60
4.5560,900.000,893.80,6.60
4.6057,900.000,893.80,6.70
4.6536,900.000,893.80,6.70
4.7029,900.000,893.80,6.70
4.7534,900.000,893.80,6.70
4.8022,900.000,893.80,6.70
4.8533,900.000,893.80,6.70
4.9033,900.000,893.80,6.60
4.9559,900.001,893.80,6.60
5.0036,899.997,893.80,6.60
5.0556,900.064,893.80,6.60
5.1072,900.454,893.80,6.70
5.1513,901.405,893.80,6.70
5.2055,903.057,893.80,6.70
5.2531,905.494,893.80,6.70
5.3020,908.750,893.80,6.70
5.3555,912.833,893.80,6.70
5.4029,917.723,893.80,6.80
5.4512,923.388,893.80,6.80
5.5036,929.787,893.80,6.80
5.5556,936.868,893.80,6.80
5.6067,944.581,899.80,7.20
5.6519,952.871,899.80,7.20
5.7054,961.682,899.80,7.20
5.7519,970.960,899.80,7.20
5.8021,980.653,899.80,7.20
5.8533,990.709,899.80,7.20
5.9073,1001.076,929.20,8.20
5.9558,1011.707,929.20,8.20
6.0021,1022.555,929.20,8.20
6.0519,1033.573,929.20,8.20
6.1047,1044.718,929.20,8.20
6.1508,1055.947,929.20,8.20
6.2034,1067.220,958.80,8.90
6.2559,1078.496,958.80,8.90
6.3023,1089.737,958.80,8.90
6.3518,1100.905,958.80,8.90
6.4049,1111.965,1014.80,9.80
6.4530,1122.881,1014.80,9.80
6.5058,1133.619,1014.80,9.80
6.5542,1144.146,1014.80,9.80
6.6073,1154.431,1059.00,10.20
6.6519,1164.442,1059.00,10.20
6.7021,1174.151,1059.00,10.20
6.7561,1183.528,1059.00,10.20
6.8032,1192.547,1059.00,10.20
6.8520,1201.182,1059.00,10.20
6.9075,1209.408,1121.00,10.70
6.9521,1217.202,1121.00,10.70
7.0023,1224.541,1121.00,10.70
7.0558,1231.404,1121.00,10.70
7.1061,1237.773,1121.00,10.70
7.1542,1243.630,1121.00,10.70
7.2034,1248.957,1159.40,10.70
7.2560,1253.741,1159.40,10.70
7.3045,1257.968,1159.40,10.70
7.3525,1261.625,1159.40,10.70
7.4058,1264.704,1209.50,10.60
7.4555,1267.194,1209.50,10.60
7.5055,1269.090,1209.50,10.60
7.5518,1270.386,1209.50,10.60
7.6014,1271.078,1209.50,10.60
7.6554,1271.165,1209.50,10.60
7.7020,1270.646,1233.10,10.40
7.7558,1269.522,1233.10,10.40
7.8041,1267.796,1233.10,10.40
7.8548,1265.474,1233.10,10.40
7.9034,1262.562,1250.80,10.00
7.9556,1259.067,1250.80,10.00
8.0012,1254.998,1250.80,10.00
8.0559,1250.369,1250.80,10.00
8.1056,1245.190,1253.80,9.70
8.1525,1239.476,1253.80,9.70
8.2022,1233.242,1253.80,9.70
8.2548,1226.507,1253.80,9.70
8.3013,1219.288,1253.80,9.70
8.3534,1211.604,1253.80,9.70
8.4037,1203.478,1239.00,9.20
8.4518,1194.931,1239.00,9.20
8.5028,1185.987,1239.00,9.20
8.5536,1176.671,1239.00,9.20
8.6022,1167.007,1239.00,9.20
8.6523,1157.022,1239.00,9.20
8.7020,1146.744,1203.60,8.50
8.7540,1136.201,1203.60,8.50
8.8020,1125.421,1203.60,8.50
8.8540,1114.435,1203.60,8.50
8.9075,1103.273,1174.10,8.10
8.9528,1091.964,1174.10,8.10
9.0053,1080.540,1174.10,8.10
9.0521,1069.033,1174.10,8.10
9.1022,1057.473,1174.10,8.10
9.1519,1045.893,1174.10,8.10
9.2052,1034.324,1115.10,7.60
9.2539,1022.798,1115.10,7.60
9.3015,1011.347,1115.10,7.60
9.3513,1000.001,1115.10,7.60
9.4036,988.793,1070.80,7.30
9.4526,977.752,1070.80,7.30
9.5020,966.910,1070.80,7.30
9.5521,956.295,1070.80,7.30
9.6020,945.937,1070.80,7.30
9.6541,935.864,1070.80,7.30
9.7041,926.104,1003.00,6.80
9.7512,916.684,1003.00,6.80
9.8056,907.629,1003.00,6.80
9.8537,898.964,1003.00,6.80
9.9022,890.714,1003.00,6.80
9.9508,882.899,1003.00,6.80
10.0073,875.543,938.10,6.50
10.0556,868.665,938.10,6.50
10.1010,862.285,938.10,6.50
10.1535,856.418,938.10,6.50
10.2020,851.082,938.10,6.50
10.2535,846.292,938.10,6.50
10.3023,842.060,899.80,6.30
10.3535,838.397,899.80,6.30
10.4021,835.315,899.80,6.30
10.4508,832.821,899.80,6.30
10.5026,830.923,855.50,6.20
10.5518,829.624,855.50,6.20
10.6022,828.930,855.50,6.20
10.6522,828.842,855.50,6.20
10.7076,829.360,834.80,6.20
10.7529,830.483,834.80,6.20
10.8011,832.208,834.80,6.20
10.8520,834.529,834.80,6.20
10.9039,837.442,834.80,6.20
10.9548,840.935,834.80,6.20
11.0068,845.007,823.00,6.30
11.0550,849.569,823.00,6.30
11.1019,854.357,823.00,6.30
11.1521,859.120,823.00,6.30
11.2061,863.701,823.00,6.30
11.2516,868.000,823.00,6.30
11.3016,871.963,826.00,6.50
11.3543,875.564,826.00,6.50
11.4023,878.799,826.00,6.50
11.4560,881.681,826.00,6.50
11.5047,884.226,846.60,6.80
11.5519,886.461,846.60,6.80
11.6021,888.412,846.60,6.80
11.6538,890.108,846.60,6.80
11.7037,891.574,846.60,6.80
11.7517,892.839,846.60,6.80
11.8050,893.925,861.40,6.80
11.8519,894.856,861.40,6.80
11.9011,895.651,861.40,6.80
11.9521,896.329,861.40,6.80
12.0067,896.905,876.20,6.80
12.0557,897.395,876.20,6.80
12.1042,897.809,876.20,6.80
12.1536,898.160,876.20,6.80
12.2022,898.456,876.20,6.80
12.2526,898.706,876.20,6.80
12.3019,898.916,885.00,6.70
12.3558,899.093,885.00,6.70
12.4038,899.242,885.00,6.70
12.4521,899.367,885.00,6.70
12.5073,899.471,888.00,6.60
12.5520,899.559,888.00,6.60
12.6037,899.632,888.00,6.60
12.6521,899.694,888.00,6.60
12.7024,899.745,888.00,6.60
12.7520,899.788,888.00,6.60
12.8023,899.824,890.90,6.60
12.8535,899.853,890.90,6.60
12.9060,899.878,890.90,6.60
12.9521,899.899,890.90,6.60
13.0051,899.916,890.90,6.60
13.0533,899.930,890.90,6.60
13.1020,899.942,890.90,6.60
13.1520,899.952,890.90,6.60
13.2014,899.960,890.90,6.60
13.2518,899.967,890.90,6.60
13.3037,899.973,890.90,6.60
13.3553,899.977,890.90,6.60
13.4014,899.981,890.90,6.60
13.4538,899.985,890.90,6.60
13.5051,899.987,890.90,6.60
13.5519,899.989,890.90,6.60
13.6050,899.991,890.90,6.60
13.6522,899.993,890.90,6.60
13.7019,899.994,890.90,6.60
13.7537,899.995,890.90,6.60
13.8011,899.996,893.80,6.60
13.8550,899.997,893.80,6.60
13.9042,899.997,893.80,6.60
13.9522,899.998,893.80,6.60
14.0043,899.998,893.80,6.60
14.0542,899.998,893.80,6.60
14.1058,899.999,893.80,6.60
14.1520,899.999,893.80,6.60
14.2066,899.999,893.80,6.60
14.2549,899.999,893.80,6.60
14.3021,899.999,893.80,6.60
14.3521,900.000,893.80,6.60
14.4025,900.000,893.80,6.60
14.4521,900.000,893.80,6.60
14.5046,900.000,893.80,6.60
14.5519,900.000,893.80,6.60
14.6059,900.000,893.80,6.60
14.6560,900.000,893.80,6.60
14.7039,900.000,893.80,6.60
14.7541,900.000,893.80,6.60
14.8060,900.000,893.80,6.60
14.8520,900.000,893.80,6.60
14.9020,900.000,893.80,6.60
14.9540,900.000,893.80,6.60
15.0030,900.000,893.80,6.70
15.0533,900.000,893.80,6.70
15.1034,900.000,893.80,6.70
15.1522,900.000,893.80,6.70
15.2070,900.000,893.80,6.70
15.2510,900.000,893.80,6.70
15.3040,900.000,893.80,6.60
15.3520,900.000,893.80,6.60
15.4024,900.000,893.80,6.60
15.4524,900.000,893.80,6.60
15.5042,900.000,893.80,6.60
15.5537,900.000,893.80,6.60
15.6037,900.000,893.80,6.60
15.6517,900.000,893.80,6.60
15.7034,900.000,893.80,6.60
15.7532,900.000,893.80,6.60
15.8020,900.000,893.80,6.60
15.8526,900.000,893.80,6.60
15.9028,900.000,893.80,6.60
15.9548,900.000,893.80,6.60
16.0037,900.000,893.80,6.60
16.0531,900.000,893.80,6.60
16.1058,900.000,893.80,6.60
16.1556,900.000,893.80,6.60
16.2018,900.000,893.80,6.60
16.2538,900.000,893.80,6.60
16.3070,900.000,893.80,6.60
16.3557,900.000,893.80,6.60
16.4057,900.000,893.80,6.60
16.4508,900.000,893.80,6.60
16.5009,900.000,893.80,6.60
16.5557,900.000,893.80,6.60
16.6067,900.000,893.80,6.70
16.6519,900.000,893.80,6.70
16.7060,900.000,893.80,6.70
16.7540,900.000,893.80,6.70
16.8061,900.000,893.80,6.70
16.8549,900.000,893.80,6.70
16.9048,900.000,893.80,6.60
16.9518,900.000,893.80,6.60
17.0057,900.000,893.80,6.60
17.0557,900.000,893.80,6.60
17.1030,900.000,893.80,6.60
17.1515,900.000,893.80,6.60
17.2019,900.000,893.80,6.60
17.2519,900.000,893.80,6.60
17.3016,900.000,893.80,6.60
17.3523,900.000,893.80,6.60
17.4035,900.000,893.80,6.70
17.4539,900.000,893.80,6.70
17.5053,900.000,893.80,6.70
17.5588,900.000,893.80,6.70
17.6035,900.000,893.80,6.70
17.6520,900.000,893.80,6.70
17.7020,900.000,893.80,6.70
17.7543,900.000,893.80,6.70
17.8034,900.000,893.80,6.70
17.8527,900.000,893.80,6.70
17.9015,900.000,893.80,6.70
17.9558,900.000,893.80,6.70
18.0015,900.000,893.80,6.70
18.0511,900.000,893.80,6.70
18.1030,900.000,893.80,6.60
18.1549,900.000,893.80,6.60
18.2019,900.000,893.80,6.60
18.2511,900.000,893.80,6.60
18.3058,900.000,893.80,6.60
18.3558,900.000,893.80,6.60
18.4037,900.000,893.80,6.60
18.4519,900.000,893.80,6.60
18.5017,900.000,893.80,6.60
18.5519,900.000,893.80,6.60
18.6074,900.000,893.80,6.70
18.6538,900.000,893.80,6.70
18.7040,900.000,893.80,6.70
18.7519,900.000,893.80,6.70
18.8031,900.000,893.80,6.70
18.8507,900.000,893.80,6.70
18.9044,900.000,893.80,6.70
18.9516,900.000,893.80,6.70
19.0013,900.000,893.80,6.70
